Time,Value
10/1/2017 6:56:00 AM,46
10/1/2017 6:57:00 AM,46
10/1/2017 6:58:00 AM,47
10/1/2017 6:59:00 AM,46
10/1/2017 7:00:00 AM,47
10/1/2017 7:01:00 AM,46
10/1/2017 7:02:00 AM,46
10/1/2017 7:03:00 AM,45
10/1/2017 7:04:00 AM,44
10/1/2017 7:05:00 AM,44
10/1/2017 7:06:00 AM,46
10/1/2017 7:07:00 AM,46
10/1/2017 7:08:00 AM,46
10/1/2017 7:09:00 AM,45
10/1/2017 7:10:00 AM,46
10/1/2017 7:11:00 AM,49
10/1/2017 7:12:00 AM,51
10/1/2017 7:13:00 AM,46
10/1/2017 7:14:00 AM,49
10/1/2017 7:15:00 AM,46
10/1/2017 7:16:00 AM,47
10/1/2017 7:17:00 AM,48
10/1/2017 7:18:00 AM,54
10/1/2017 7:19:00 AM,53
10/1/2017 7:20:00 AM,53
10/1/2017 7:21:00 AM,48
10/1/2017 7:22:00 AM,50
10/1/2017 7:23:00 AM,49
10/1/2017 7:24:00 AM,48
10/1/2017 7:25:00 AM,50
10/1/2017 7:26:00 AM,48
10/1/2017 7:27:00 AM,54
10/1/2017 7:28:00 AM,47
10/1/2017 7:29:00 AM,46
10/1/2017 7:30:00 AM,46
10/1/2017 7:31:00 AM,46
10/1/2017 7:32:00 AM,44
10/1/2017 7:33:00 AM,54
10/1/2017 7:34:00 AM,46
10/1/2017 7:35:00 AM,45
10/1/2017 7:36:00 AM,49
10/1/2017 7:37:00 AM,45
10/1/2017 7:38:00 AM,46
10/1/2017 7:39:00 AM,49
10/1/2017 7:40:00 AM,48
10/1/2017 7:41:00 AM,46
10/1/2017 7:42:00 AM,46
10/1/2017 7:43:00 AM,54
10/1/2017 7:44:00 AM,47
10/1/2017 7:45:00 AM,45
10/1/2017 7:46:00 AM,46
10/1/2017 7:47:00 AM,46
10/1/2017 7:48:00 AM,48
10/1/2017 7:49:00 AM,44
10/1/2017 7:50:00 AM,44
10/1/2017 7:51:00 AM,47
10/1/2017 7:52:00 AM,46
10/1/2017 7:53:00 AM,45
10/1/2017 7:54:00 AM,45
10/1/2017 7:55:00 AM,45
10/1/2017 7:56:00 AM,46
10/1/2017 7:57:00 AM,45
10/1/2017 7:58:00 AM,44
10/1/2017 7:59:00 AM,46
10/1/2017 8:00:00 AM,45
10/1/2017 8:01:00 AM,46
10/1/2017 8:02:00 AM,46
10/1/2017 8:03:00 AM,46
10/1/2017 8:04:00 AM,46
10/1/2017 8:05:00 AM,45
10/1/2017 8:06:00 AM,46
10/1/2017 8:07:00 AM,47
10/1/2017 8:08:00 AM,47
10/1/2017 8:09:00 AM,48
10/1/2017 8:10:00 AM,46
10/1/2017 8:11:00 AM,47
10/1/2017 8:12:00 AM,49
10/1/2017 8:13:00 AM,46
10/1/2017 8:14:00 AM,47
10/1/2017 8:15:00 AM,47
10/1/2017 8:16:00 AM,46
10/1/2017 8:17:00 AM,47
10/1/2017 8:18:00 AM,48
10/1/2017 8:19:00 AM,47
10/1/2017 8:20:00 AM,48
10/1/2017 8:21:00 AM,47
10/1/2017 8:22:00 AM,47
10/1/2017 8:23:00 AM,47
10/1/2017 8:24:00 AM,47
10/1/2017 8:25:00 AM,46
10/1/2017 8:26:00 AM,56
10/1/2017 8:27:00 AM,47
10/1/2017 8:28:00 AM,45
10/1/2017 8:29:00 AM,46
10/1/2017 8:30:00 AM,46
10/1/2017 8:31:00 AM,46
10/1/2017 8:32:00 AM,45
10/1/2017 8:33:00 AM,46
10/1/2017 8:34:00 AM,46
10/1/2017 8:35:00 AM,51
10/1/2017 8:36:00 AM,45
10/1/2017 8:37:00 AM,44
10/1/2017 8:38:00 AM,44
10/1/2017 8:39:00 AM,45
10/1/2017 8:40:00 AM,45
10/1/2017 8:41:00 AM,48
10/1/2017 8:42:00 AM,47
10/1/2017 8:43:00 AM,44
10/1/2017 8:44:00 AM,44
10/1/2017 8:45:00 AM,45
10/1/2017 8:46:00 AM,50
10/1/2017 8:47:00 AM,48
10/1/2017 8:48:00 AM,44
10/1/2017 8:49:00 AM,46
10/1/2017 8:50:00 AM,47
10/1/2017 8:51:00 AM,56
10/1/2017 8:52:00 AM,59
10/1/2017 8:53:00 AM,55
10/1/2017 8:54:00 AM,57
10/1/2017 8:55:00 AM,54
10/1/2017 8:56:00 AM,54
10/1/2017 8:57:00 AM,55
10/1/2017 8:58:00 AM,52
10/1/2017 8:59:00 AM,52
10/1/2017 9:00:00 AM,53
10/1/2017 9:01:00 AM,52
10/1/2017 9:02:00 AM,51
10/1/2017 9:03:00 AM,52
